gletsjer,jaartal,terugtrekking (m)
MORTERATSCH,1880,100
MORTERATSCH,1881,41
MORTERATSCH,1883,16
MORTERATSCH,1885,24
MORTERATSCH,1886,12
MORTERATSCH,1887,20
MORTERATSCH,1888,38
MORTERATSCH,1889,14
MORTERATSCH,1890,18
MORTERATSCH,1891,18
MORTERATSCH,1892,10
MORTERATSCH,1893,24
MORTERATSCH,1895,12
MORTERATSCH,1897,37
MORTERATSCH,1898,12
MORTERATSCH,1899,-2
MORTERATSCH,1900,5
MORTERATSCH,1901,9
MORTERATSCH,1902,8
MORTERATSCH,1903,6
MORTERATSCH,1904,6
MORTERATSCH,1905,0
MORTERATSCH,1906,3
MORTERATSCH,1907,7
MORTERATSCH,1908,20
MORTERATSCH,1909,30
MORTERATSCH,1910,9
MORTERATSCH,1911,20
MORTERATSCH,1912,-5
MORTERATSCH,1913,10
MORTERATSCH,1916,12
MORTERATSCH,1917,6
MORTERATSCH,1918,10
MORTERATSCH,1919,5
MORTERATSCH,1920,16
MORTERATSCH,1921,6
MORTERATSCH,1922,9
MORTERATSCH,1923,10
MORTERATSCH,1924,12
MORTERATSCH,1925,6
MORTERATSCH,1926,9
MORTERATSCH,1927,9
MORTERATSCH,1928,8
MORTERATSCH,1929,11
MORTERATSCH,1930,11
MORTERATSCH,1931,12
MORTERATSCH,1932,15
MORTERATSCH,1933,4
MORTERATSCH,1934,15
MORTERATSCH,1935,14
MORTERATSCH,1936,7
MORTERATSCH,1937,12
MORTERATSCH,1938,26
MORTERATSCH,1939,34
MORTERATSCH,1940,42
MORTERATSCH,1941,22
MORTERATSCH,1942,22
MORTERATSCH,1943,20
MORTERATSCH,1944,34
MORTERATSCH,1945,22
MORTERATSCH,1946,20
MORTERATSCH,1947,48
MORTERATSCH,1948,12
MORTERATSCH,1949,19
MORTERATSCH,1950,20
MORTERATSCH,1951,26
MORTERATSCH,1953,48
MORTERATSCH,1954,36
MORTERATSCH,1955,16
MORTERATSCH,1956,20
MORTERATSCH,1957,31
MORTERATSCH,1958,46
MORTERATSCH,1959,39
MORTERATSCH,1960,35
MORTERATSCH,1961,33
MORTERATSCH,1962,45
MORTERATSCH,1963,38
MORTERATSCH,1964,44
MORTERATSCH,1965,38
MORTERATSCH,1966,41
MORTERATSCH,1967,31
MORTERATSCH,1968,5
MORTERATSCH,1969,8
MORTERATSCH,1970,24
MORTERATSCH,1971,4
MORTERATSCH,1972,12
MORTERATSCH,1973,12
MORTERATSCH,1974,14
MORTERATSCH,1975,16
MORTERATSCH,1976,27
MORTERATSCH,1977,5
MORTERATSCH,1978,5
MORTERATSCH,1979,23
MORTERATSCH,1981,56
MORTERATSCH,1982,2
MORTERATSCH,1983,10
MORTERATSCH,1984,5
MORTERATSCH,1985,-8
MORTERATSCH,1986,6
MORTERATSCH,1987,9
MORTERATSCH,1988,-2
MORTERATSCH,1989,7
MORTERATSCH,1990,11
MORTERATSCH,1991,5
MORTERATSCH,1992,6
MORTERATSCH,1993,24
MORTERATSCH,1994,12
MORTERATSCH,1995,24
MORTERATSCH,1996,26
MORTERATSCH,1997,11
MORTERATSCH,1998,7
MORTERATSCH,1999,39
MORTERATSCH,2000,30
MORTERATSCH,2001,26
MORTERATSCH,2002,30
MORTERATSCH,2003,77
MORTERATSCH,2004,-10
MORTERATSCH,2005,22
MORTERATSCH,2006,33
MORTERATSCH,2007,19
MORTERATSCH,2008,35
MORTERATSCH,2009,33
MORTERATSCH,2010,51
MORTERATSCH,2011,45
MORTERATSCH,2012,82
MORTERATSCH,2013,22
MORTERATSCH,2014,22
MORTERATSCH,2015,164
MORTERATSCH,2016,70
MORTERATSCH,2017,70
MORTERATSCH,2018,135
