gletsjer,jaartal,verdunning (m)
SILVRETTA,2016,0.6
SILVRETTA,2015,1.649
SILVRETTA,2014,0.95
SILVRETTA,2013,0.246
SILVRETTA,2012,1.415
SILVRETTA,2011,1.392
SILVRETTA,2010,0.268
SILVRETTA,2009,1.097
SILVRETTA,2008,0.639
SILVRETTA,2007,0.916
SILVRETTA,2006,1.449
SILVRETTA,2005,1.05
SILVRETTA,2004,0.12
SILVRETTA,2003,2.529
SILVRETTA,2002,0.298
SILVRETTA,2001,-0.673
SILVRETTA,2000,-0.012
SILVRETTA,1999,0.196
SILVRETTA,1998,1.591
SILVRETTA,1997,0.263
SILVRETTA,1996,0.143
SILVRETTA,1995,0.129
SILVRETTA,1994,0.708
SILVRETTA,1993,0.244
SILVRETTA,1992,1.144
SILVRETTA,1991,1.238
SILVRETTA,1990,0.709
SILVRETTA,1989,0.393
SILVRETTA,1988,0.413
SILVRETTA,1987,0.944
SILVRETTA,1986,0.367
SILVRETTA,1985,-0.207
SILVRETTA,1984,-0.717
SILVRETTA,1983,0.487
SILVRETTA,1982,0.697
SILVRETTA,1981,-0.479
SILVRETTA,1980,-0.735
SILVRETTA,1979,0.149
SILVRETTA,1978,-0.887
SILVRETTA,1977,-0.422
SILVRETTA,1976,0.218
SILVRETTA,1975,-0.322
SILVRETTA,1974,-0.763
SILVRETTA,1973,1.102
SILVRETTA,1972,0.259
SILVRETTA,1971,0.758
SILVRETTA,1970,-0.145
SILVRETTA,1969,0.175
SILVRETTA,1968,-0.631
SILVRETTA,1967,-0.376
SILVRETTA,1966,-1.278
SILVRETTA,1965,-1.28
SILVRETTA,1964,1.375
SILVRETTA,1963,1.042
SILVRETTA,1962,0.404
SILVRETTA,1961,-0.203
SILVRETTA,1960,-0.286
SILVRETTA,1959,1.132
SILVRETTA,1958,0.642
SILVRETTA,1957,-0.012
SILVRETTA,1956,-0.171
SILVRETTA,1955,-0.719
SILVRETTA,1954,0.22
SILVRETTA,1953,0.265
SILVRETTA,1952,0.973
SILVRETTA,1951,0.268
SILVRETTA,1950,1.352
SILVRETTA,1949,1.455
SILVRETTA,1948,-1.063
SILVRETTA,1947,2.567
SILVRETTA,1946,-0.103
SILVRETTA,1945,0.181
SILVRETTA,1944,0.232
SILVRETTA,1943,0.427
SILVRETTA,1942,1.214
SILVRETTA,1941,-0.7
SILVRETTA,1940,-0.565
SILVRETTA,1939,0.441
SILVRETTA,1938,0.161
SILVRETTA,1937,-0.014
SILVRETTA,1936,-0.111
SILVRETTA,1935,-0.29
SILVRETTA,1934,0.407
SILVRETTA,1933,-0.229
SILVRETTA,1932,1.152
SILVRETTA,1931,-0.477
SILVRETTA,1930,0.33
SILVRETTA,1929,1.334
SILVRETTA,1928,1.04
SILVRETTA,1927,-0.216
SILVRETTA,1926,0.000
SILVRETTA,1925,-0.187
SILVRETTA,1924,-0.391
SILVRETTA,1923,0.149
SILVRETTA,1922,-0.074
SILVRETTA,1921,2.354
SILVRETTA,1920,-0.033
SILVRETTA,1919,0.211
