x,y,kleur
-20,900,blauw
-18,824,blauw
-16,756,blauw
-14,696,blauw
-12,644,blauw
-10,600,blauw
-8,564,blauw
-6,536,blauw
-4,516,blauw
-2,504,blauw
0,500,blauw
2,504,blauw
4,516,blauw
6,536,blauw
8,564,blauw
10,600,blauw
12,644,blauw
14,696,blauw
16,756,blauw
18,824,blauw
20,900,blauw
22,984,blauw
24,1076,blauw
26,1176,blauw
28,1284,blauw
30,1400,blauw
32,1524,blauw
34,1656,blauw
36,1796,blauw
38,1944,blauw
-30,700,groen
-27,529,groen
-24,376,groen
-21,241,groen
-18,124,groen
-15,25,groen
-12,-56,groen
-9,-119,groen
-6,-164,groen
-3,-191,groen
0,-200,groen
3,-191,groen
6,-164,groen
9,-119,groen
12,-56,groen
15,25,groen
18,124,groen
21,241,groen
24,376,groen
27,529,groen
30,700,groen
33,889,groen
36,1096,groen
39,1321,groen
42,1564,groen
45,1825,groen
48,2104,groen
51,2401,groen
54,2716,groen
57,3049,groen
