jaartal,molfractie CO2 (ppm)
  1.0, 276.7
  30.0, 277.9
  56.0, 277.4
 104.0, 277.5
 136.0, 278.1
 168.0, 280.1
 202.0, 280.7
 228.0, 281.5
 274.0, 280.1
 302.0, 279.8
 329.0, 278.9
 365.0, 277.0
 428.0, 276.9
 461.0, 276.7
 500.0, 276.4
 537.0, 276.0
 572.0, 277.6
 596.0, 276.9
 632.0, 278.3
 668.0, 279.4
 698.0, 279.7
 730.0, 278.5
 764.0, 278.5
 799.0, 278.5
 857.0, 279.3
 897.0, 278.9
 944.0, 279.1
 968.0, 278.5
1005.0, 280.5
1006.0, 279.4
1025.0, 280.8
1046.0, 280.3
1058.0, 282.8
1096.0, 282.4
1105.0, 282.8
1146.0, 283.8
1160.0, 283.9
1196.0, 283.9
1207.0, 283.6
1246.0, 281.7
1258.0, 282.1
1276.0, 281.1
1306.0, 281.5
1327.0, 283.4
1350.0, 280.1
1387.0, 280.2
1411.0, 279.6
1429.0, 279.5
1431.0, 282.5
1446.0, 281.7
1465.0, 279.6
1499.0, 282.4
1527.0, 283.2
1547.0, 282.8
1560.0, 281.7
1570.0, 281.9
1588.0, 281.0
1589.0, 278.7
1604.0, 274.3
1610.0, 271.8
1629.0, 274.5
1640.0, 276.6
1647.0, 277.2
1679.0, 275.9
1690.0, 276.3
1692.0, 276.5
1720.0, 277.5
1723.0, 276.9
1734.0, 278.2
1743.0, 276.7
1747.0, 276.9
1749.0, 277.2
1752.0, 276.4
1760.0, 276.7
1763.0, 276.3
1774.0, 277.8
1777.0, 279.5
1781.0, 276.8
1794.0, 281.6
1794.5, 281.5
1796.0, 283.7
1800.0, 281.1
1814.0, 284.3
1825.0, 285.1
1826.0, 281.3
1832.0, 284.5
1835.0, 283.7
1838.0, 284.1
1840.0, 283.0
1844.0, 286.5
1845.0, 286.1
1846.0, 283.3
1846.5, 285.0
1849.0, 287.7
1850.0, 285.2
1852.0, 288.6
1854.0, 284.9
1854.5, 287.0
1859.0, 286.5
1861.0, 286.6
1864.0, 285.4
1867.0, 285.2
1869.0, 287.4
1869.5, 287.7
1873.0, 287.2
1874.0, 290.5
1877.0, 288.8
1882.0, 291.9
1884.0, 289.8
1884.5, 289.0
1886.0, 293.7
1886.5, 290.6
1889.0, 291.5
1889.5, 292.2
1891.0, 294.7
1892.0, 294.6
1894.0, 293.8
1896.0, 298.2
1898.0, 294.7
1899.0, 296.5
1899.3, 296.0
1899.7, 296.2
1902.0, 295.7
1902.0, 295.0
1904.0, 295.1
1905.0, 298.2
1909.0, 300.4
1912.0, 300.7
1912.5, 298.4
1914.0, 300.0
1914.5, 300.7
1915.0, 301.3
1919.0, 303.3
1919.5, 303.6
1923.0, 303.2
1924.0, 304.5
1924.5, 305.2
1926.0, 305.0
1929.0, 305.2
1929.3, 307.8
1929.7, 305.7
1932.0, 307.8
1933.0, 307.2
1934.0, 309.2
1935.0, 307.8
1936.0, 307.9
1937.0, 309.0
1938.0, 310.5
1938.5, 309.6
1939.0, 310.1
1939.5, 310.9
1940.0, 310.5
1940.5, 311.9
1941.0, 310.7
1942.0, 310.3
1942.0, 310.9
1942.3, 311.6
1942.7, 312.3
1943.0, 310.5
1943.5, 311.0
1944.0, 309.7
1944.2, 311.4
1944.5, 312.1
1944.8, 311.3
1945.0, 309.7
1946.0, 311.5
1947.0, 310.8
1947.3, 310.0
1947.7, 311.5
1948.0, 310.7
1948.5, 310.5
1949.0, 311.2
1950.0, 312.6
1953.0, 311.9
1953.5, 312.1
1954.0, 314.1
1954.5, 311.7
1955.0, 313.5
1955.5, 313.8
1956.1, 316.3
1957.0, 314.0
1958.0, 314.4
1959.0, 315.7
1959.5, 316.3
1962.0, 318.0
1964.0, 319.0
1965.0, 319.1
1967.0, 322.9
1968.0, 323.7
1969.0, 323.2
1970.0, 325.0
1970.0, 324.8
1971.0, 324.1
1973.0, 328.1
1973.0, 326.4
1973.5, 329.2
1975.0, 331.2
1978.0, 333.6
1983.7, 341.2
1989.8, 349.7
1992.4, 353.6
1994.5, 356.9
1996.5, 359.5
