dag,CO2
3, 315.24
10, 315.50
17, 315.69
24, 315.86
31, 315.42
45, 316.94
52, 316.61
59, 316.62
66, 316.81
80, 316.73
87, 316.71
94, 317.72
101, 317.12
108, 317.64
115, 318.32
122, 318.27
129, 318.78
136, 318.05
143, 318.43
157, 318.53
164, 318.14
171, 317.88
178, 317.76
185, 316.86
192, 316.83
199, 316.45
206, 316.16
213, 315.62
220, 314.91
234, 315.00
241, 314.15
248, 314.45
255, 313.93
262, 313.57
269, 313.54
276, 313.04
283, 313.15
290, 313.43
297, 313.46
304, 314.12
311, 314.42
318, 314.88
325, 315.20
332, 315.11
339, 315.06
346, 315.64
353, 315.86
360, 315.77
