teller meting,uur,CO2
0,0.08333333333333333,313.79
1,0.25,313.79
2,0.5833333333333334,313.79
3,0.75,313.79
4,1.0833333333333333,313.79
5,1.25,313.79
6,1.5833333333333335,313.79
7,1.75,313.9
8,2.0833333333333335,313.79
9,2.25,313.79
10,2.5833333333333335,313.79
11,2.75,313.79
12,3.0833333333333335,313.79
13,3.25,313.79
14,3.5833333333333335,313.9
15,3.75,314.02
16,4.083333333333333,313.9
17,4.25,313.79
18,4.583333333333333,313.56
19,4.75,313.79
20,5.083333333333333,313.68
21,5.25,313.9
22,5.583333333333333,313.9
23,5.75,313.9
24,6.083333333333333,313.9
25,6.25,314.13
26,6.583333333333333,314.02
27,6.75,314.13
28,7.083333333333333,314.13
29,7.25,314.02
30,7.583333333333333,313.68
31,7.75,314.13
32,8.083333333333334,314.02
33,8.25,313.68
34,8.583333333333334,313.56
35,8.75,312.99
36,9.083333333333334,312.76
37,9.25,314.48
38,9.583333333333334,314.25
39,9.75,314.13
40,10.083333333333334,316.09
41,10.25,316.2
42,10.583333333333334,318.17
43,10.75,317.13
44,11.083333333333334,315.86
45,11.25,315.4
46,11.583333333333334,315.28
47,11.75,315.05
48,12.083333333333334,314.94
49,12.25,314.25
50,12.583333333333334,314.25
51,12.75,313.68
52,13.083333333333334,313.33
53,13.25,313.33
54,13.583333333333334,313.33
55,13.75,312.76
56,14.083333333333334,312.76
57,14.25,312.41
58,14.583333333333334,312.19
59,14.75,312.07
60,15.083333333333334,312.64
61,15.25,312.76
62,15.583333333333334,312.99
63,15.75,312.53
64,16.083333333333332,311.5
65,16.25,311.61
66,16.583333333333332,312.3
67,16.75,312.41
68,17.083333333333332,312.53
69,17.25,313.1
70,17.583333333333332,312.64
71,17.75,313.22
72,18.083333333333332,312.76
73,18.25,312.99
74,18.583333333333332,312.64
75,18.75,312.41
76,19.083333333333332,312.76
77,19.25,312.64
78,19.583333333333332,312.3
79,19.75,313.45
80,20.083333333333332,312.99
81,20.25,313.56
82,20.583333333333332,313.45
83,20.75,313.68
84,21.083333333333332,313.68
85,21.25,314.48
86,21.583333333333332,313.68
87,21.75,314.13
88,22.083333333333332,313.56
89,22.25,313.9
90,22.583333333333332,313.68
91,22.75,313.9
92,23.083333333333332,313.9
93,23.25,313.9
94,23.583333333333332,313.9
95,23.75,314.02
